productId,storeId,productType,weight
387,FDD08,25,Fruits and Vegetables,8.3
388,FDY59,25,Baking Goods,8.195
389,NCP29,25,Health and Hygiene,8.42
390,FDU35,25,Breads,6.44
391,DRP47,25,Hard Drinks,
392,FDF33,25,Seafood,7.97
393,DRB01,25,Soft Drinks,7.39
394,NCX18,25,Household,
395,FDU16,25,Frozen Foods,19.25
396,FDY39,25,Meat,5.305
397,FDM14,25,Canned,13.8
398,FDC59,25,Starchy Foods,
399,FDQ49,25,Breakfast,20.2
400,FDU33,26,Snack Foods,7.63
401,FDY15,26,Dairy,18.25
402,NCP43,26,Others,17.75
403,FDD08,26,Fruits and Vegetables,8.3
404,FDY59,26,Baking Goods,8.195
405,NCP29,26,Health and Hygiene,8.42
406,FDU35,26,Breads,6.44
407,DRP47,26,Hard Drinks,
408,FDF33,26,Seafood,7.97
409,DRB01,26,Soft Drinks,7.39
410,NCX18,26,Household,
411,FDU16,26,Frozen Foods,19.25
412,FDY39,26,Meat,5.305
413,FDM14,26,Canned,13.8
414,FDC59,26,Starchy Foods,
415,FDQ49,26,Breakfast,20.2
416,FDU33,27,Snack Foods,7.63
417,FDY15,27,Dairy,18.25
418,NCP43,27,Others,17.75
419,FDD08,27,Fruits and Vegetables,8.3
420,FDY59,27,Baking Goods,8.195
421,NCP29,27,Health and Hygiene,8.42
422,FDU35,27,Breads,6.44
423,DRP47,27,Hard Drinks,
424,FDF33,27,Seafood,7.97
425,DRB01,27,Soft Drinks,7.39
426,NCX18,27,Household,
427,FDU16,27,Frozen Foods,19.25
428,FDY39,27,Meat,5.305
429,FDM14,27,Canned,13.8
430,FDC59,27,Starchy Foods,
431,FDQ49,27,Breakfast,20.2
432,FDU33,28,Snack Foods,7.63
433,FDY15,28,Dairy,18.25
434,NCP43,28,Others,17.75
435,FDD08,28,Fruits and Vegetables,8.3
436,FDY59,28,Baking Goods,8.195
437,NCP29,28,Health and Hygiene,8.42
438,FDU35,28,Breads,6.44
439,DRP47,28,Hard Drinks,
440,FDF33,28,Seafood,7.97
441,DRB01,28,Soft Drinks,7.39
442,NCX18,28,Household,
443,FDU16,28,Frozen Foods,19.25
444,FDY39,28,Meat,5.305
445,FDM14,28,Canned,13.8
446,FDC59,28,Starchy Foods,
447,FDQ49,28,Breakfast,20.2
448,FDU33,29,Snack Foods,7.63
449,FDY15,29,Dairy,18.25
450,NCP43,29,Others,17.75
451,FDD08,29,Fruits and Vegetables,8.3
452,FDY59,29,Baking Goods,8.195
453,NCP29,29,Health and Hygiene,8.42
454,FDU35,29,Breads,6.44
455,DRP47,29,Hard Drinks,
456,FDF33,29,Seafood,7.97
457,DRB01,29,Soft Drinks,7.39
458,NCX18,29,Household,
459,FDU16,29,Frozen Foods,19.25
460,FDY39,29,Meat,5.305
461,FDM14,29,Canned,13.8
462,FDC59,29,Starchy Foods,
463,FDQ49,29,Breakfast,20.2
464,FDU33,30,Snack Foods,7.63
465,FDY15,30,Dairy,18.25
466,NCP43,30,Others,17.75
467,FDD08,30,Fruits and Vegetables,8.3
468,FDY59,30,Baking Goods,8.195
469,NCP29,30,Health and Hygiene,8.42
470,FDU35,30,Breads,6.44
471,DRP47,30,Hard Drinks,
472,FDF33,30,Seafood,7.97
473,DRB01,30,Soft Drinks,7.39
474,NCX18,30,Household,
475,FDU16,30,Frozen Foods,19.25
476,FDY39,30,Meat,5.305
477,FDM14,30,Canned,13.8
478,FDC59,30,Starchy Foods,
479,FDQ49,30,Breakfast,20.2
480,FDU33,31,Snack Foods,7.63
481,FDY15,31,Dairy,18.25
482,NCP43,31,Others,17.75
483,FDD08,31,Fruits and Vegetables,8.3
484,FDY59,31,Baking Goods,8.195
485,NCP29,31,Health and Hygiene,8.42
486,FDU35,31,Breads,6.44
487,DRP47,31,Hard Drinks,
488,FDF33,31,Seafood,7.97
489,DRB01,31,Soft Drinks,7.39
490,NCX18,31,Household,
491,FDU16,31,Frozen Foods,19.25
492,FDY39,31,Meat,5.305
493,FDM14,31,Canned,13.8
494,FDC59,31,Starchy Foods,
495,FDQ49,31,Breakfast,20.2
496,FDU33,32,Snack Foods,7.63
497,FDY15,32,Dairy,18.25
498,NCP43,32,Others,17.75
499,FDD08,32,Fruits and Vegetables,8.3
500,FDY59,32,Baking Goods,8.195
501,NCP29,32,Health and Hygiene,8.42
502,FDU35,32,Breads,6.44
503,DRP47,32,Hard Drinks,
504,FDF33,32,Seafood,7.97
505,DRB01,32,Soft Drinks,7.39
506,NCX18,32,Household,
507,FDU16,32,Frozen Foods,19.25
508,FDY39,32,Meat,5.305
509,FDM14,32,Canned,13.8
510,FDC59,32,Starchy Foods,
511,FDQ49,32,Breakfast,20.2
512,FDU33,33,Snack Foods,7.63
513,FDY15,33,Dairy,18.25
514,NCP43,33,Others,17.75
515,FDD08,33,Fruits and Vegetables,8.3
516,FDY59,33,Baking Goods,8.195
517,NCP29,33,Health and Hygiene,8.42
518,FDU35,33,Breads,6.44
519,DRP47,33,Hard Drinks,
520,FDF33,33,Seafood,7.97
521,DRB01,33,Soft Drinks,7.39
522,NCX18,33,Household,
523,FDU16,33,Frozen Foods,19.25
524,FDY39,33,Meat,5.305
525,FDM14,33,Canned,13.8
526,FDC59,33,Starchy Foods,
527,FDQ49,33,Breakfast,20.2
528,FDU33,34,Snack Foods,7.63
529,FDY15,34,Dairy,18.25
530,NCP43,34,Others,17.75
531,FDD08,34,Fruits and Vegetables,8.3
532,FDY59,34,Baking Goods,8.195
533,NCP29,34,Health and Hygiene,8.42
534,FDU35,34,Breads,6.44
535,DRP47,34,Hard Drinks,
536,FDF33,34,Seafood,7.97
537,DRB01,34,Soft Drinks,7.39
538,NCX18,34,Household,
539,FDU16,34,Frozen Foods,19.25
540,FDY39,34,Meat,5.305
541,FDM14,34,Canned,13.8
542,FDC59,34,Starchy Foods,
543,FDQ49,34,Breakfast,20.2
544,FDU33,35,Snack Foods,7.63
545,FDY15,35,Dairy,18.25
546,NCP43,35,Others,17.75
547,FDD08,35,Fruits and Vegetables,8.3
548,FDY59,35,Baking Goods,8.195
549,NCP29,35,Health and Hygiene,8.42
550,FDU35,35,Breads,6.44
551,DRP47,35,Hard Drinks,
552,FDF33,35,Seafood,7.97
553,DRB01,35,Soft Drinks,7.39
554,NCX18,35,Household,
555,FDU16,35,Frozen Foods,19.25
556,FDY39,35,Meat,5.305
557,FDM14,35,Canned,13.8
558,FDC59,35,Starchy Foods,
559,FDQ49,35,Breakfast,20.2
560,FDU33,36,Snack Foods,7.63
561,FDY15,36,Dairy,18.25
562,NCP43,36,Others,17.75
563,FDD08,36,Fruits and Vegetables,8.3
564,FDY59,36,Baking Goods,8.195
565,NCP29,36,Health and Hygiene,8.42
566,FDU35,36,Breads,6.44
567,DRP47,36,Hard Drinks,
568,FDF33,36,Seafood,7.97
569,DRB01,36,Soft Drinks,7.39
570,NCX18,36,Household,
571,FDU16,36,Frozen Foods,19.25
572,FDY39,36,Meat,5.305
573,FDM14,36,Canned,13.8
574,FDC59,36,Starchy Foods,
575,FDQ49,36,Breakfast,20.2
576,FDU33,37,Snack Foods,7.63
577,FDY15,37,Dairy,18.25
578,NCP43,37,Others,17.75
579,FDD08,37,Fruits and Vegetables,8.3
580,FDY59,37,Baking Goods,8.195
581,NCP29,37,Health and Hygiene,8.42
582,FDU35,37,Breads,6.44
583,DRP47,37,Hard Drinks,
584,FDF33,37,Seafood,7.97
585,DRB01,37,Soft Drinks,7.39
586,NCX18,37,Household,
587,FDU16,37,Frozen Foods,19.25
588,FDY39,37,Meat,5.305
589,FDM14,37,Canned,13.8
590,FDC59,37,Starchy Foods,
591,FDQ49,37,Breakfast,20.2
592,FDU33,38,Snack Foods,7.63
593,FDY15,38,Dairy,18.25
594,NCP43,38,Others,17.75
595,FDD08,38,Fruits and Vegetables,8.3
596,FDY59,38,Baking Goods,8.195
597,NCP29,38,Health and Hygiene,8.42
598,FDU35,38,Breads,6.44
599,DRP47,38,Hard Drinks,
600,FDF33,38,Seafood,7.97
601,DRB01,38,Soft Drinks,7.39
602,NCX18,38,Household,
603,FDU16,38,Frozen Foods,19.25
604,FDY39,38,Meat,5.305
605,FDM14,38,Canned,13.8
606,FDC59,38,Starchy Foods,
607,FDQ49,38,Breakfast,20.2
608,FDU33,39,Snack Foods,7.63
609,FDY15,39,Dairy,18.25
610,NCP43,39,Others,17.75
611,FDD08,39,Fruits and Vegetables,8.3
612,FDY59,39,Baking Goods,8.195
613,NCP29,39,Health and Hygiene,8.42
614,FDU35,39,Breads,6.44
615,DRP47,39,Hard Drinks,
616,FDF33,39,Seafood,7.97
617,DRB01,39,Soft Drinks,7.39
618,NCX18,39,Household,
619,FDU16,39,Frozen Foods,19.25
620,FDY39,39,Meat,5.305
621,FDM14,39,Canned,13.8
622,FDC59,39,Starchy Foods,
623,FDQ49,39,Breakfast,20.2
624,FDU33,40,Snack Foods,7.63
625,FDY15,40,Dairy,18.25
626,NCP43,40,Others,17.75
627,FDD08,40,Fruits and Vegetables,8.3
628,FDY59,40,Baking Goods,8.195
629,NCP29,40,Health and Hygiene,8.42
630,FDU35,40,Breads,6.44
631,DRP47,40,Hard Drinks,
632,FDF33,40,Seafood,7.97
633,DRB01,40,Soft Drinks,7.39
634,NCX18,40,Household,
635,FDU16,40,Frozen Foods,19.25
636,FDY39,40,Meat,5.305
637,FDM14,40,Canned,13.8
638,FDC59,40,Starchy Foods,
639,FDQ49,40,Breakfast,20.2
640,FDU33,41,Snack Foods,7.63
641,FDY15,41,Dairy,18.25
642,NCP43,41,Others,17.75
643,FDD08,41,Fruits and Vegetables,8.3
644,FDY59,41,Baking Goods,8.195
645,NCP29,41,Health and Hygiene,8.42
646,FDU35,41,Breads,6.44
647,DRP47,41,Hard Drinks,
648,FDF33,41,Seafood,7.97
649,DRB01,41,Soft Drinks,7.39
650,NCX18,41,Household,
651,FDU16,41,Frozen Foods,19.25
652,FDY39,41,Meat,5.305
653,FDM14,41,Canned,13.8
654,FDC59,41,Starchy Foods,
655,FDQ49,41,Breakfast,20.2
656,FDU33,42,Snack Foods,7.63
657,FDY15,42,Dairy,18.25
658,NCP43,42,Others,17.75
659,FDD08,42,Fruits and Vegetables,8.3
660,FDY59,42,Baking Goods,8.195
661,NCP29,42,Health and Hygiene,8.42
662,FDU35,42,Breads,6.44
663,DRP47,42,Hard Drinks,
664,FDF33,42,Seafood,7.97
665,DRB01,42,Soft Drinks,7.39
666,NCX18,42,Household,
667,FDU16,42,Frozen Foods,19.25
668,FDY39,42,Meat,5.305
669,FDM14,42,Canned,13.8
670,FDC59,42,Starchy Foods,
671,FDQ49,42,Breakfast,20.2
672,FDU33,43,Snack Foods,7.63
673,FDY15,43,Dairy,18.25
674,NCP43,43,Others,17.75
675,FDD08,43,Fruits and Vegetables,8.3
676,FDY59,43,Baking Goods,8.195
677,NCP29,43,Health and Hygiene,8.42
678,FDU35,43,Breads,6.44
679,DRP47,43,Hard Drinks,
680,FDF33,43,Seafood,7.97
681,DRB01,43,Soft Drinks,7.39
682,NCX18,43,Household,
683,FDU16,43,Frozen Foods,19.25
684,FDY39,43,Meat,5.305
685,FDM14,43,Canned,13.8
686,FDC59,43,Starchy Foods,
687,FDQ49,43,Breakfast,20.2
688,FDU33,44,Snack Foods,7.63
689,FDY15,44,Dairy,18.25
690,NCP43,44,Others,17.75
691,FDD08,44,Fruits and Vegetables,8.3
692,FDY59,44,Baking Goods,8.195
693,NCP29,44,Health and Hygiene,8.42
694,FDU35,44,Breads,6.44
695,DRP47,44,Hard Drinks,
696,FDF33,44,Seafood,7.97
697,DRB01,44,Soft Drinks,7.39
698,NCX18,44,Household,
699,FDU16,44,Frozen Foods,19.25
700,FDY39,44,Meat,5.305
701,FDM14,44,Canned,13.8
702,FDC59,44,Starchy Foods,
703,FDQ49,44,Breakfast,20.2
704,FDU33,45,Snack Foods,7.63
705,FDY15,45,Dairy,18.25
706,NCP43,45,Others,17.75
707,FDD08,45,Fruits and Vegetables,8.3
708,FDY59,45,Baking Goods,8.195
709,NCP29,45,Health and Hygiene,8.42
710,FDU35,45,Breads,6.44
711,DRP47,45,Hard Drinks,
712,FDF33,45,Seafood,7.97
713,DRB01,45,Soft Drinks,7.39
714,NCX18,45,Household,
715,FDU16,45,Frozen Foods,19.25
716,FDY39,45,Meat,5.305
717,FDM14,45,Canned,13.8
718,FDC59,45,Starchy Foods,
719,FDQ49,45,Breakfast,20.2
720,FDU33,46,Snack Foods,7.63
721,FDY15,46,Dairy,18.25
722,NCP43,46,Others,17.75
723,FDD08,46,Fruits and Vegetables,8.3
724,FDY59,46,Baking Goods,8.195
725,NCP29,46,Health and Hygiene,8.42
726,FDU35,46,Breads,6.44
727,DRP47,46,Hard Drinks,
728,FDF33,46,Seafood,7.97
729,DRB01,46,Soft Drinks,7.39
730,NCX18,46,Household,
731,FDU16,46,Frozen Foods,19.25
732,FDY39,46,Meat,5.305
733,FDM14,46,Canned,13.8
734,FDC59,46,Starchy Foods,
735,FDQ49,46,Breakfast,20.2
736,FDU33,47,Snack Foods,7.63
737,FDY15,47,Dairy,18.25
738,NCP43,47,Others,17.75
739,FDD08,47,Fruits and Vegetables,8.3
740,FDY59,47,Baking Goods,8.195
741,NCP29,47,Health and Hygiene,8.42
742,FDU35,47,Breads,6.44
743,DRP47,47,Hard Drinks,
744,FDF33,47,Seafood,7.97
